Case Number,Date Reported,Crimes,Location,Synopsis
18-1198,8/2/2018,Grand Theft,CAMPBELL HALL B538,Late rpt of RP reporting his unregistered bike stolen last night
18-1217,8/7/2018,Petty Theft Bicycles,HARDER STADIUM B580,Theft of an unregistered bike.
18-1219,8/7/2018,Petty Theft Bicycles,CAMPBELL HALL B538,Theft of a rental bike.
18-1224,8/8/2018,Petty Theft Bicycles,SOCIAL SCIENCES & MEDIA STUDIES (SSMS) B276,Bike lock tampered with last night and bike missing.
18-1229,8/9/2018,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,Bicycle last seen 8/8/18 at 0830 hours and discovered missing 8/8/18 around 0900 hours.
18-1234,8/11/2018,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,Rp reporting a stolen bicycle.
18-1235,8/11/2018,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,Rp reporting that his rental bike was stolen sometime last night.
18-1246,8/13/2018,Petty Theft Bicycles,MUSIC B531,RP advised that his bicycle was stolen this evening.
18-1248,8/14/2018,Petty Theft Bicycles,TROPICANA VILLAS,Bicycle was stolen today. Tool that cut the lock is still on-scene.
18-1267,8/20/2018,Petty Theft Bicycles,SOCIAL SCIENCES & MEDIA STUDIES (SSMS) B276,RP reporting his bike stolen.
18-1272,8/21/2018,Petty Theft Bicycles,CHEMISTRY B557,Theft of an unregistered bike.
18-1276,8/22/2018,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,Registered bike taken.
18-1384,9/12/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,RP Reporting Bike stolen
18-1385,9/12/2018,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting bicycle stolen
18-1415,9/18/2018,Petty Theft Bicycles,SAN CLEMENTE,RP reporting stolen bike
18-1433,9/24/2018,All Other,DEVEREUX BIKE STORAGE,
18-1442,9/25/2018,Petty Theft Bicycles,SAN RAFAEL CLUSTER B587,RP reporting his lock was cut and his $800 bike was stolen.
18-1453,9/26/2018,Petty Theft Bicycles,UNIVERSITY CENTER B558,
18-1457,9/27/2018,Petty Theft Bicycles,ORTEGA DINING COMMONS B542,"A UCSB student, reported his bicycle stolen."
18-1462,9/27/2018,Petty Theft Bicycles,PAULEY TRACK,RP reporting his unregistered bike stolen 10 minutes ago. No suspect information or description.
18-1494,10/1/2018,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,Theft of a registered bike.
18-1497,10/1/2018,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,Stolen between Anacapa and Santa Rosa
